1	N	48
1	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	1364
4	R	1364
4	W	1364
0	R	1365
4	J	1409
4	R	1409
4	W	1409
0	R	1409
4	J	1494
4	R	1494
4	W	1494
0	R	1494
4	J	1548
4	R	1548
4	W	1548
0	R	1548
4	J	1795
4	R	1795
4	W	1795
0	R	1795
4	J	1874
4	R	1874
4	W	1874
0	R	1874
4	J	1876
4	R	1876
4	W	1876
0	R	1876
4	J	1931
4	R	1931
4	W	1931
0	R	1931
4	J	1995
4	R	1995
4	W	2001
0	R	2001
4	J	2066
4	R	2066
4	W	2066
0	R	2066
4	J	2148
4	R	2148
6	N	2148
6	J	2149
4	W	2149
6	R	2149
7	N	2151
7	J	2151
8	N	2152
8	J	2152
9	N	2152
9	J	2153
10	N	2153
10	J	2153
11	N	2154
11	J	2154
12	N	2154
12	J	2155
13	N	2155
13	J	2155
14	N	2156
14	J	2156
15	N	2156
15	J	2157
16	N	2157
16	J	2157
17	N	2158
17	J	2158
18	N	2158
18	J	2159
19	N	2159
19	J	2159
20	N	2160
20	J	2160
21	N	2160
21	J	2161
22	N	2161
22	J	2161
6	W	2163
22	R	2163
22	J	2213
21	R	2213
21	J	2263
20	R	2263
20	J	2313
19	R	2313
19	J	2363
18	R	2363
18	J	2413
17	R	2413
17	J	2463
16	R	2463
16	J	2513
15	R	2513
15	J	2563
14	R	2563
14	J	2613
13	R	2613
13	J	2663
12	R	2663
12	J	2713
11	R	2713
11	J	2763
10	R	2763
10	J	2813
9	R	2813
9	J	2863
8	R	2863
8	J	2913
7	R	2913
7	W	2913
22	R	2913
22	J	2963
21	R	2963
21	J	3013
20	R	3013
7	J	3063
20	J	3063
7	R	3063
7	W	3063
19	R	3063
3	J	3113
19	J	3113
3	R	3113
3	W	3113
18	R	3113
18	J	3163
17	R	3163
7	J	3213
17	J	3213
7	R	3213
7	W	3213
16	R	3213
16	J	3263
15	R	3263
15	J	3313
14	R	3313
7	J	3363
14	J	3363
7	R	3363
7	W	3363
13	R	3363
13	J	3413
12	R	3413
12	J	3463
11	R	3463
7	J	3513
11	J	3513
7	R	3513
7	W	3513
10	R	3513
10	J	3563
9	R	3563
9	J	3613
8	R	3613
7	J	3663
8	J	3663
7	R	3663
7	W	3663
22	R	3663
22	J	3713
21	R	3713
21	J	3763
20	R	3763
7	J	3813
20	J	3813
7	R	3813
7	W	3813
19	R	3813
19	J	3863
18	R	3863
18	J	3913
17	R	3913
7	J	3963
17	J	3963
7	R	3963
7	W	3963
16	R	3963
16	J	4013
15	R	4013
15	J	4063
14	R	4063
7	J	4113
14	J	4113
7	R	4113
7	W	4113
13	R	4113
13	J	4163
12	R	4163
12	J	4213
11	R	4213
7	J	4263
11	J	4263
7	R	4263
7	W	4263
10	R	4263
10	J	4313
9	R	4313
9	J	4363
8	R	4363
8	W	4363
22	R	4363
7	J	4413
22	J	4413
7	R	4413
7	W	4413
21	R	4413
21	J	4463
20	R	4463
8	J	4513
20	J	4513
8	R	4513
8	W	4513
19	R	4513
7	J	4563
19	J	4563
7	R	4563
7	W	4563
18	R	4563
18	J	4613
17	R	4613
8	J	4663
17	J	4663
8	R	4663
8	W	4663
16	R	4663
7	J	4713
16	J	4713
7	R	4713
7	W	4713
15	R	4713
15	J	4763
14	R	4763
8	J	4813
14	J	4813
8	R	4813
8	W	4813
13	R	4813
7	J	4863
13	J	4863
7	R	4863
7	W	4863
12	R	4863
12	J	4913
11	R	4913
8	J	4963
11	J	4963
8	R	4963
8	W	4963
10	R	4963
